number,title,query_base,query_synonym,query_antonym
43,Should I prefer a Leica camera over Nikon for portrait photographs?,prefer Leica camera Nikon portrait photographs,choose opt favor Leica camera Nikon portrait photographs,badly evil worsen Leica camera Nikon portrait photographs
44,Which company has a larger capitalization: Apple or Microsoft?,company larger capitalization Apple or Microsoft,bigger large big company capitalization Apple Microsoft,small little company capitalization Apple Microsoft
45,Which laptop has a better durability: HP or Dell?,laptop better durability HP or Dell,good well improve laptop durability HP Dell,evil worsen badly laptop durability HP Dell
46,Which beverage has more calories per glass: beer or cider?,beverage more calories glass beer or cider,beverage calories glass beer cider,fewer less beverage calories glass beer cider
47,Is admission rate in Stanford higher than that of MIT?,admission rate Stanford higher MIT,high eminent mellow admission rate Stanford MIT,low admission rate Stanford MIT
48,Is pasta healthier than pizza?,pasta healthier pizza,healthy fitter salubrious pasta pizza,unhealthy pasta pizza
49,Which city is more expensive to live in: San Francisco or New York?,city more expensive live San Francisco or New York,city San Francisco New York,fewer less city San Francisco New York
50,Whose salary is higher: basketball or soccer players?,salary higher basketball or soccer players,high eminent mellow salary basketball soccer players,low salary basketball soccer players
51,"What is better at reducing fever in children, Ibuprofen or Aspirin?",better fever children Ibuprofen or Aspirin,good well improve fever children Ibuprofen Aspirin,evil worsen badly fever children Ibuprofen Aspirin
52,What are the best rice cookers?,best rice cookers,better good well rice cookers,ill evil badly rice cookers
53,Should I buy steel or ceramic knives?,buy steel or ceramic knives,purchase steal bargain steel knives,sell steel knives
54,Is morning or afternoon sun the best for fruit trees?,morning or afternoon sun best fruit trees,morning afternoon sun fruit trees,worsen badly evil morning afternoon sun fruit trees
55,"What is better for back pain, chiropractic therapy or physical therapy?",better back pain chiropractic therapy or physical therapy,good well improve pain therapy therapy,evil worsen badly pain therapy therapy
56,Is Kenya or Tanzania better for a safari?,Kenya or Tanzania better safari,Kenya Tanzania safari,worsen badly evil Kenya Tanzania safari
57,How is a Master's degree different from a Bachelor's degree?,Master degree different Bachelor degree,Master degree Bachelor degree,like same Master degree Bachelor degree
58,"Which is better, Family Guy or The Simpsons?",better Family Guy or Simpsons,good well improve Family Guy Simpsons,evil worsen badly Family Guy Simpsons
59,"Which is more difficult, skiing or snowboarding?",more difficult or snowboarding,snowboarding,fewer less snowboarding
60,Why is basketball better than football?,basketball better football,good well improve basketball football,evil worsen badly basketball football
61,"Who is stronger, Hulk or Superman?",stronger Hulk or Superman,strong solid hard Hulk Superman,weak impotent Hulk Superman
62,"Plastic pots or ceramic pots, which is better in terms of plant health?",Plastic pots or ceramic pots better terms plant health,moldable pliant shaping pots pots terms plant health,worsen evil badly pots pots terms plant health
63,"What is the coldest temperature ever recorded on Earth, and where?",coldest temperature ever Earth and,frigid cold dusty temperature Earth,hot temperature Earth
64,What is the most popular beer in Australia?,most popular beer Australia,almost nearly about beer Australia,fewest least beer Australia
65,Are dogs better than humans?,dogs better humans,good well improve dogs humans,evil worsen badly dogs humans
66,What diet gives the best result to lose weight?,diet best result lose weight,better good well diet result weight,ill evil badly diet result weight
67,Should I take the IELTS or the TOEFL?,take IELTS or TOEFL,make get need IELTS TOEFL,obviate disclaim abstain IELTS TOEFL
68,Are online courses better than physical classrooms?,online courses better physical classrooms,on-line online courses classrooms,off-line courses classrooms
69,"Who was a better boxer, Muhammad Ali or Joe Frazier?",better boxer Muhammad Ali or Joe Frazier,good well improve boxer Muhammad Ali Joe Frazier,evil worsen badly boxer Muhammad Ali Joe Frazier
70,Which technology performs better: Apple's or Google's?,technology better Apple or Google,good well improve technology Apple Google,evil worsen badly technology Apple Google
71,Is gold equal to platinum?,gold equal platinum,adequate be match gold platinum,inadequate differ unequal gold platinum
72,"Who is better at learning a foreign language, kids or adults?",better foreign language kids or adults,good well improve language kids adults,evil worsen badly language kids adults
73,"What's the difference between coffee, espresso, cappuccino, and latte?",difference coffee espresso cappuccino and latte,different unlike dissimilar difference coffee espresso cappuccino latte,worsen evil badly difference coffee espresso cappuccino latte
74,"Which city is better, London or Paris?",city better London or Paris,good well improve city London Paris,evil worsen badly city London Paris
75,"What is better, a conditioner or a moisturizer?",better conditioner or moisturizer,good well improve conditioner moisturizer,evil worsen badly conditioner moisturizer
76,Are artificial sweeteners better than white sugar?,artificial sweeteners better white sugar,contrived hokey unreal sweeteners sugar,natural sweeteners sugar
77,Is it healthier to bake than to fry food?,healthier bake fry food,healthy fitter salubrious food,unhealthy food
78,"Which algorithm is better, quicksort or merge sort?",algorithm better quicksort or merge sort,good well improve algorithm sort,evil worsen badly algorithm sort
79,"What is more interesting, computer science or computer engineering?",more interesting computer science or computer engineering,computer science computer engineering,fewer less computer science computer engineering
80,What is the difference between a vegan and a vegetarian?,difference vegan and vegetarian,different unlike dissimilar difference vegan vegetarian,worsen evil badly difference vegan vegetarian
81,Does unpasteurized cheese taste better than pasteurized cheese?,unpasteurized cheese taste better cheese,unpasteurised unpasteurized cheese taste cheese,badly worsen evil cheese taste cheese
82,"Which light bulb is better, incandescent or fluorescent?",light bulb better incandescent or fluorescent,lighter lighting illumination bulb incandescent fluorescent,extinguish heavy dark bulb incandescent fluorescent
83,What is the difference between quantum physics and quantum mechanics?,difference quantum physics and quantum mechanics,different unlike dissimilar difference quantum physics quantum mechanics,worsen evil badly difference quantum physics quantum mechanics
84,"What is better, cow milk or goat milk?",better cow milk or goat milk,good well improve cow milk goat milk,evil worsen badly cow milk goat milk
85,Psoriasis vs Eczema: What is the difference?,Psoriasis Eczema difference,good well improve Psoriasis Eczema difference,evil worsen badly Psoriasis Eczema difference
86,"I am planning to buy sneakers: Which are better, Adidas or Nike?",buy sneakers better Adidas or Nike,purchase steal bargain sneakers Adidas Nike,sell sneakers Adidas Nike
87,Is Obamacare really any better than Medicare?,Obamacare really any better Medicare,actually very truly Obamacare Medicare,worsen evil badly Obamacare Medicare
88,Should I major in philosophy or psychology?,major philosophy or psychology,philosophy psychology,minor philosophy psychology
89,What are the differences between biodegradable and non-biodegradable wastes?,differences biodegradable and non - biodegradable wastes,biodegradable differences wastes,badly evil worsen differences wastes
90,What are good business books to read?,good business books read,well just right business books,evilness badness ill business books
91,When are random forest classifiers better than decision trees?,random forest classifiers better decision trees,random forest classifiers decision trees,nonrandom forest classifiers decision trees
92,What are the pros and cons of wood vs. stone mulch?,pros and cons wood stone mulch,different unlike dissimilar pros cons wood stone mulch,worsen evil badly pros cons wood stone mulch
93,Is rain water better than tap water for plants?,rain water better tap water plants,good well improve rain water tap water plants,evil worsen badly rain water tap water plants
94,Suitcases: hard or soft?,Suitcases hard or soft,tough difficult strong Suitcases,voiced lightly easy Suitcases
95,"Which is more environmentally friendly, a hybrid or a diesel?",more environmentally friendly hybrid or diesel,hybrid diesel,fewer less hybrid diesel
96,"Which is healthier to wear, boxers or briefs?",healthier wear boxers or briefs,healthy fitter salubrious boxers briefs,unhealthy boxers briefs
97,What is the difference between a blender vs a food processor?,difference blender food processor,good well improve difference blender food processor,evil worsen badly difference blender food processor
98,"Which is better, rock or rap?",better rock or rap,good well improve rock rap,evil worsen badly rock rap
99,Do you think imagination is better than knowledge?,think imagination better knowledge,believe guess imagine imagination knowledge,forget imagination knowledge
100,Should I learn Python or R for data analysis?,learn Python or R data analysis,teach take see Python R data analysis,worsen evil badly Python R data analysis
