,qid,no,doc,rel
72,3,0,clueweb12-1700tw-31-21998,0
73,3,0,clueweb12-0001wb-98-37238,2
74,3,0,clueweb12-0002wb-32-26341,1
75,3,0,clueweb12-0909wb-88-23846,1
76,3,0,clueweb12-0001wb-84-25807,2
77,3,0,clueweb12-0002wb-85-11531,1
78,3,0,clueweb12-0004wb-00-21961,1
79,3,0,clueweb12-0301tw-22-15272,2
80,3,0,clueweb12-0903wb-90-00272,2
81,3,0,clueweb12-0002wb-34-08397,2
82,3,0,clueweb12-1210wb-90-34231,2
83,3,0,clueweb12-1800tw-31-21199,0
84,3,0,clueweb12-1600tw-26-02980,2
85,3,0,clueweb12-0405wb-11-27558,2
86,3,0,clueweb12-0408wb-80-06880,2
87,3,0,clueweb12-0004wb-91-16461,2
88,3,0,clueweb12-0200wb-72-02639,0
89,3,0,clueweb12-1602wb-92-26315,0
90,3,0,clueweb12-1215wb-68-14102,1
91,3,0,clueweb12-0000tw-10-05446,1
92,3,0,clueweb12-0310wb-29-14261,1
93,3,0,clueweb12-1712wb-35-20820,0
94,3,0,clueweb12-0200wb-72-02633,0
95,3,0,clueweb12-1201wb-86-23638,2
96,3,0,clueweb12-0002wb-34-08400,1
98,3,0,clueweb12-0807wb-84-08314,0
99,4,0,clueweb12-1700tw-36-09705,0
100,4,0,clueweb12-1509wb-96-07966,0
101,4,0,clueweb12-1813wb-39-11542,0
102,4,0,clueweb12-1503wb-74-17799,2
103,4,0,clueweb12-1510wb-29-22711,2
104,4,0,clueweb12-0302wb-76-11660,0
105,4,0,clueweb12-0107wb-20-32830,2
106,4,0,clueweb12-1115wb-29-10218,0
108,4,0,clueweb12-0003wb-36-32958,2
109,4,0,clueweb12-0100tw-42-11448,0
110,4,0,clueweb12-1611wb-67-10323,0
111,4,0,clueweb12-1503wb-74-17792,2
112,4,0,clueweb12-0602wb-52-06782,0
113,4,0,clueweb12-1805wb-83-11636,0
114,4,0,clueweb12-1510wb-29-22740,0
115,4,0,clueweb12-1505wb-99-21938,0
116,4,0,clueweb12-1504wb-84-09994,0
117,4,0,clueweb12-0303wb-25-18273,1
118,4,0,clueweb12-0600wb-87-32069,1
119,4,0,clueweb12-1500tw-77-20272,0
120,4,0,clueweb12-0001wb-04-27847,2
121,4,0,clueweb12-1107wb-05-23577,0
122,4,0,clueweb12-0702wb-43-29278,0
123,4,0,clueweb12-1415wb-77-07221,0
124,4,0,clueweb12-1600wb-67-29243,0
125,4,0,clueweb12-1901wb-04-20967,0
126,4,0,clueweb12-1312wb-27-04797,0
127,4,0,clueweb12-0602wb-56-31895,2
128,4,0,clueweb12-0210wb-08-33165,0
129,4,0,clueweb12-0003wb-22-14299,1
130,4,0,clueweb12-0100wb-76-06353,0
131,4,0,clueweb12-0300wb-55-15764,0
132,4,0,clueweb12-0602wb-50-19120,0
133,4,0,clueweb12-0305wb-68-03787,0
134,4,0,clueweb12-0110wb-97-17620,0
135,5,0,clueweb12-0004wb-13-14940,0
136,5,0,clueweb12-1315wb-64-18355,0
137,5,0,clueweb12-0005wb-04-15166,0
138,5,0,clueweb12-0009wb-35-28380,2
139,5,0,clueweb12-1315wb-66-00524,2
140,5,0,clueweb12-0101wb-14-30479,1
141,5,0,clueweb12-0105wb-27-00600,2
142,5,0,clueweb12-0800tw-04-12087,0
143,5,0,clueweb12-0009wb-63-02805,0
144,5,0,clueweb12-0304wb-36-21225,1
145,5,0,clueweb12-0004wb-25-32529,2
146,5,0,clueweb12-1004wb-09-27495,0
147,5,0,clueweb12-1101wb-16-08548,2
148,5,0,clueweb12-1200tw-17-12332,0
149,5,0,clueweb12-0003wb-90-30228,2
150,5,0,clueweb12-0200tw-75-02937,0
151,5,0,clueweb12-1203wb-43-04953,1
152,5,0,clueweb12-1509wb-95-09600,2
153,5,0,clueweb12-0004wb-00-20216,0
154,5,0,clueweb12-0204wb-85-24717,1
155,5,0,clueweb12-0202wb-08-16431,0
156,5,0,clueweb12-0110wb-60-10205,0
157,5,0,clueweb12-0109wb-95-25360,0
158,5,0,clueweb12-0005wb-77-25967,0
159,5,0,clueweb12-1311wb-55-20961,0
160,5,0,clueweb12-0209wb-09-08702,0
161,5,0,clueweb12-1200tw-96-14427,0
162,5,0,clueweb12-1204wb-18-09521,1
163,5,0,clueweb12-1700wb-00-29733,2
164,5,0,clueweb12-1810wb-45-07966,0
165,5,0,clueweb12-0603wb-22-16292,0
166,5,0,clueweb12-0000wb-01-03063,1
167,5,0,clueweb12-1514wb-70-09141,0
168,5,0,clueweb12-0206wb-88-33066,0
169,5,0,clueweb12-1204wb-02-13781,0
171,6,0,clueweb12-1108wb-64-20721,0
172,6,0,clueweb12-1508wb-91-12064,0
173,6,0,clueweb12-1503wb-37-26071,0
174,6,0,clueweb12-1108wb-62-12724,0
175,6,0,clueweb12-1501wb-39-14967,0
176,6,0,clueweb12-1300tw-56-03941,0
177,6,0,clueweb12-1408wb-70-04894,0
178,6,0,clueweb12-1503wb-59-14418,0
179,6,0,clueweb12-0001wb-43-12753,0
180,6,0,clueweb12-0200tw-33-01408,0
181,6,0,clueweb12-0905wb-16-02785,0
182,6,0,clueweb12-0008wb-39-06737,0
184,6,0,clueweb12-1702wb-19-02359,0
185,6,0,clueweb12-1700wb-08-20923,0
186,6,0,clueweb12-0002wb-23-17102,0
187,6,0,clueweb12-0205wb-63-31022,1
188,6,0,clueweb12-0109wb-79-07222,0
189,6,0,clueweb12-1108wb-62-12723,0
190,6,0,clueweb12-1010wb-16-20580,1
191,6,0,clueweb12-0918wb-53-05144,0
192,6,0,clueweb12-1000tw-30-11971,0
194,6,0,clueweb12-0007wb-93-15502,0
195,6,0,clueweb12-0800wb-06-25877,0
196,6,0,clueweb12-0109wb-01-25889,0
197,6,0,clueweb12-0202wb-45-15099,1
198,6,0,clueweb12-0006wb-46-24060,0
199,6,0,clueweb12-0108wb-04-00698,1
200,6,0,clueweb12-0818wb-40-01699,1
201,6,0,clueweb12-0305wb-56-14458,0
202,6,0,clueweb12-1502wb-62-22283,0
203,6,0,clueweb12-0411wb-07-22535,0
206,6,0,clueweb12-0712wb-17-24292,0
207,6,0,clueweb12-1503wb-17-04250,0
208,6,0,clueweb12-1502wb-84-02925,0
209,6,0,clueweb12-0700wb-07-17963,0
210,7,0,clueweb12-0714wb-51-05387,0
211,7,0,clueweb12-0602wb-96-07365,1
213,7,0,clueweb12-0700tw-70-20539,0
215,7,0,clueweb12-0702wb-72-15006,0
216,7,0,clueweb12-0713wb-38-13773,1
217,7,0,clueweb12-0100tw-74-09753,1
218,7,0,clueweb12-0509wb-89-02848,1
219,7,0,clueweb12-0602wb-53-07322,1
220,7,0,clueweb12-1717wb-42-20197,2
221,7,0,clueweb12-0001wb-37-06645,1
222,7,0,clueweb12-0510wb-65-20526,0
223,7,0,clueweb12-0001wb-27-24605,0
224,7,0,clueweb12-1306wb-00-08922,1
225,7,0,clueweb12-1306wb-09-00836,0
226,7,0,clueweb12-0709wb-85-11475,0
227,7,0,clueweb12-0111wb-51-26137,1
228,7,0,clueweb12-0201wb-23-01936,1
229,7,0,clueweb12-0508wb-75-27785,0
230,7,0,clueweb12-1100tw-28-16509,1
231,7,0,clueweb12-0602wb-58-24867,2
232,7,0,clueweb12-1020wb-66-06020,2
233,7,0,clueweb12-1006wb-02-18987,0
234,7,0,clueweb12-1901wb-04-16553,0
235,7,0,clueweb12-1717wb-39-02540,1
236,7,0,clueweb12-0011wb-86-27544,1
237,7,0,clueweb12-1306wb-44-27172,2
238,7,0,clueweb12-1019wb-55-18070,0
239,7,0,clueweb12-0200wb-51-13773,1
240,7,0,clueweb12-0200tw-85-08150,0
242,7,0,clueweb12-0204wb-50-08373,1
243,7,0,clueweb12-0205wb-50-25169,0
244,7,0,clueweb12-0309wb-63-09055,0
245,7,0,clueweb12-0406wb-68-15515,1
246,7,0,clueweb12-0508wb-29-21600,0
248,8,0,clueweb12-1400wb-44-02161,1
249,8,0,clueweb12-1300tw-33-03020,0
250,8,0,clueweb12-1204wb-55-10308,0
251,8,0,clueweb12-1201wb-35-07740,0
252,8,0,clueweb12-0909wb-33-12181,1
253,8,0,clueweb12-0409wb-69-07611,0
254,8,0,clueweb12-0400wb-22-02114,0
255,8,0,clueweb12-0403wb-39-01430,0
256,8,0,clueweb12-0403wb-39-01425,0
258,8,0,clueweb12-1705wb-28-30005,0
259,8,0,clueweb12-0304wb-10-25887,1
260,8,0,clueweb12-0212wb-10-08767,0
261,8,0,clueweb12-1507wb-64-30907,0
262,8,0,clueweb12-0403wb-39-01442,0
263,8,0,clueweb12-0400wb-51-21978,0
265,8,0,clueweb12-0209wb-71-24198,0
266,8,0,clueweb12-0209wb-85-12445,0
267,8,0,clueweb12-0007wb-70-01521,0
268,8,0,clueweb12-0006wb-73-11432,0
269,8,0,clueweb12-0209wb-38-10030,0
270,8,0,clueweb12-0311wb-83-18547,0
271,8,0,clueweb12-0917wb-89-17815,0
272,8,0,clueweb12-1716wb-51-24459,1
273,8,0,clueweb12-1812wb-25-00207,0
274,8,0,clueweb12-1603wb-20-15631,0
275,8,0,clueweb12-0000wb-90-35155,0
276,8,0,clueweb12-0310wb-46-13398,0
277,8,0,clueweb12-0512wb-43-13965,0
278,8,0,clueweb12-0905wb-56-28930,0
279,8,0,clueweb12-1912wb-30-19546,0
280,8,0,clueweb12-0109wb-57-23853,0
281,8,0,clueweb12-0007wb-95-07205,0
282,9,0,clueweb12-0204wb-71-01503,0
283,9,0,clueweb12-0807wb-18-17189,2
284,9,0,clueweb12-1316wb-47-08416,1
285,9,0,clueweb12-1909wb-97-26411,0
286,9,0,clueweb12-0204wb-24-11270,0
287,9,0,clueweb12-1907wb-30-04140,2
288,9,0,clueweb12-1902wb-53-09665,2
290,9,0,clueweb12-1503wb-33-01954,1
291,9,0,clueweb12-0104wb-60-20149,1
292,9,0,clueweb12-1401wb-97-12406,1
293,9,0,clueweb12-1205wb-15-07784,2
294,9,0,clueweb12-1000tw-97-04708,1
295,9,0,clueweb12-1701wb-83-07243,0
296,9,0,clueweb12-0714wb-09-02406,0
297,9,0,clueweb12-1503wb-60-12112,1
298,9,0,clueweb12-0714wb-09-02397,0
299,9,0,clueweb12-0608wb-30-15417,0
300,9,0,clueweb12-1215wb-34-05748,2
301,9,0,clueweb12-0806wb-39-17414,1
302,9,0,clueweb12-0810wb-72-24247,0
303,9,0,clueweb12-1017wb-17-24682,0
304,9,0,clueweb12-0713wb-60-19126,1
305,9,0,clueweb12-0612wb-12-06482,2
306,9,0,clueweb12-0602wb-49-33815,2
307,9,0,clueweb12-0601wb-62-04643,1
308,9,0,clueweb12-0003wb-78-25177,2
310,9,0,clueweb12-0301wb-77-03227,2
311,9,0,clueweb12-0301tw-05-09747,2
313,9,0,clueweb12-0006wb-07-01591,1
314,9,0,clueweb12-0807wb-16-09960,1
315,9,0,clueweb12-0904wb-85-18856,0
316,9,0,clueweb12-0509wb-97-05716,1
317,10,0,clueweb12-0006wb-33-05736,2
318,10,0,clueweb12-0006wb-79-22857,2
319,10,0,clueweb12-1400tw-33-14391,2
320,10,0,clueweb12-1506wb-53-05585,1
321,10,0,clueweb12-1700tw-34-15153,2
322,10,0,clueweb12-1401wb-65-31380,0
323,10,0,clueweb12-1403wb-02-14234,0
324,10,0,clueweb12-1400wb-01-01762,1
325,10,0,clueweb12-0001wb-27-21359,1
326,10,0,clueweb12-1403wb-08-26283,0
327,10,0,clueweb12-0000wb-00-37289,1
328,10,0,clueweb12-0002wb-19-04364,1
329,10,0,clueweb12-0010wb-73-33880,1
330,10,0,clueweb12-1810wb-85-17668,0
331,10,0,clueweb12-1809wb-96-01930,2
332,10,0,clueweb12-0006wb-01-11944,1
333,10,0,clueweb12-0701wb-31-07891,0
334,10,0,clueweb12-1616wb-71-19602,0
335,10,0,clueweb12-1714wb-89-23979,0
336,10,0,clueweb12-0105wb-03-15036,0
337,10,0,clueweb12-0210wb-99-11151,0
338,10,0,clueweb12-1308wb-23-21053,2
339,10,0,clueweb12-1406wb-99-02564,0
340,10,0,clueweb12-0919wb-60-08927,1
341,10,0,clueweb12-0207wb-51-33740,1
342,10,0,clueweb12-0005wb-23-02569,1
343,10,0,clueweb12-0101wb-78-08445,1
344,10,0,clueweb12-1401wb-65-31381,1
346,10,0,clueweb12-1903wb-61-26697,0
348,10,0,clueweb12-0008wb-31-11245,0
349,10,0,clueweb12-1010wb-14-20113,1
350,10,0,clueweb12-0904wb-72-25341,1
351,10,0,clueweb12-0611wb-56-04065,1
352,10,0,clueweb12-0410wb-25-02917,0
353,10,0,clueweb12-0404wb-18-30884,0
354,10,0,clueweb12-0312wb-01-25586,0
355,10,0,clueweb12-1310wb-82-25157,1
356,11,0,clueweb12-0005wb-65-29050,1
357,11,0,clueweb12-1414wb-19-16937,0
358,11,0,clueweb12-0104wb-26-13754,0
359,11,0,clueweb12-1201wb-30-21379,2
360,11,0,clueweb12-0712wb-97-07883,0
361,11,0,clueweb12-0610wb-31-09360,2
362,11,0,clueweb12-0405wb-70-10991,0
363,11,0,clueweb12-0006wb-01-15154,0
364,11,0,clueweb12-0503wb-44-11617,0
365,11,0,clueweb12-0100wb-30-03853,0
366,11,0,clueweb12-1703wb-98-17691,2
367,11,0,clueweb12-0108wb-38-22819,0
368,11,0,clueweb12-1810wb-61-05436,2
369,11,0,clueweb12-0005wb-65-29053,1
370,11,0,clueweb12-0212wb-12-15620,0
371,11,0,clueweb12-0003wb-49-16219,0
372,11,0,clueweb12-0004wb-13-20946,1
373,11,0,clueweb12-0005wb-65-29052,1
374,11,0,clueweb12-1404wb-29-15256,0
375,11,0,clueweb12-0500tw-02-21309,2
376,11,0,clueweb12-0304wb-99-03770,1
377,11,0,clueweb12-0004wb-13-20935,2
378,11,0,clueweb12-0110wb-49-05110,2
379,11,0,clueweb12-0604wb-22-01324,0
380,11,0,clueweb12-0107wb-48-11110,1
381,11,0,clueweb12-0000wb-90-35154,2
382,11,0,clueweb12-0000wb-90-35155,2
383,11,0,clueweb12-0002wb-19-04037,1
384,11,0,clueweb12-0005wb-65-29048,1
385,11,0,clueweb12-0004wb-84-33116,1
386,11,0,clueweb12-0004wb-26-00635,1
387,11,0,clueweb12-1208wb-04-03567,0
388,12,0,clueweb12-0717wb-43-27439,0
389,12,0,clueweb12-0211wb-51-25813,1
390,12,0,clueweb12-0002wb-18-34442,0
392,12,0,clueweb12-0917wb-35-06147,2
393,12,0,clueweb12-0211wb-06-26447,2
394,12,0,clueweb12-0511wb-64-18781,2
395,12,0,clueweb12-0904wb-65-07285,0
396,12,0,clueweb12-1711wb-44-21962,0
397,12,0,clueweb12-1413wb-05-02449,0
398,12,0,clueweb12-1312wb-67-30531,0
400,12,0,clueweb12-1814wb-09-26821,1
401,12,0,clueweb12-0000tw-18-00941,0
402,12,0,clueweb12-1514wb-90-17922,0
403,12,0,clueweb12-0211wb-96-22974,2
404,12,0,clueweb12-1201tw-00-08377,1
406,12,0,clueweb12-1315wb-03-23053,0
409,12,0,clueweb12-0511wb-72-04324,0
410,12,0,clueweb12-0004wb-78-20304,2
411,12,0,clueweb12-0705wb-44-15816,0
412,12,0,clueweb12-0606wb-70-00559,0
413,12,0,clueweb12-1612wb-47-00350,1
414,12,0,clueweb12-0908wb-68-09752,2
415,12,0,clueweb12-0904wb-47-13647,1
418,12,0,clueweb12-0705wb-25-28569,0
419,12,0,clueweb12-0608wb-30-15417,0
420,12,0,clueweb12-0006wb-42-17663,0
421,12,0,clueweb12-0511wb-15-18202,0
422,12,0,clueweb12-0211wb-10-07936,0
423,12,0,clueweb12-1500tw-29-07408,0
424,12,0,clueweb12-0707wb-63-08044,0
425,13,0,clueweb12-1007wb-28-18359,0
426,13,0,clueweb12-0407wb-77-25064,1
427,13,0,clueweb12-0510wb-61-21259,0
428,13,0,clueweb12-0808wb-31-22540,0
429,13,0,clueweb12-0904wb-51-23857,0
430,13,0,clueweb12-0913wb-73-24461,0
431,13,0,clueweb12-1200tw-85-03586,0
432,13,0,clueweb12-0405wb-70-24090,1
433,13,0,clueweb12-1707wb-37-01123,1
434,13,0,clueweb12-1712wb-14-07851,1
435,13,0,clueweb12-1911wb-47-23937,0
436,13,0,clueweb12-0311wb-68-13222,1
437,13,0,clueweb12-0000wb-76-37331,0
438,13,0,clueweb12-0003wb-36-33075,2
439,13,0,clueweb12-0001wb-84-28144,2
440,13,0,clueweb12-1400wb-90-19701,1
441,13,0,clueweb12-0000wb-48-36274,0
442,13,0,clueweb12-0401wb-12-24001,1
443,13,0,clueweb12-1806wb-04-24989,0
444,13,0,clueweb12-0005wb-75-20003,0
445,13,0,clueweb12-0000wb-89-01647,0
447,13,0,clueweb12-0000wb-61-01933,0
448,13,0,clueweb12-0007wb-42-14507,0
449,13,0,clueweb12-1314wb-99-08013,0
450,13,0,clueweb12-0604wb-69-29329,0
451,13,0,clueweb12-0203wb-16-25125,0
452,13,0,clueweb12-0001wb-49-06554,2
453,13,0,clueweb12-0306wb-99-14468,2
454,13,0,clueweb12-0105wb-40-26715,0
455,13,0,clueweb12-0003wb-64-02551,0
456,13,0,clueweb12-0201wb-58-08800,0
457,13,0,clueweb12-0202wb-48-13274,0
458,13,0,clueweb12-0207wb-43-15776,0
459,13,0,clueweb12-0312wb-01-23941,0
460,13,0,clueweb12-0916wb-79-04626,1
461,14,0,clueweb12-1416wb-04-20743,1
462,14,0,clueweb12-0914wb-15-12762,1
463,14,0,clueweb12-1903wb-51-20888,0
464,14,0,clueweb12-0210wb-13-13799,1
465,14,0,clueweb12-1812wb-72-01015,0
466,14,0,clueweb12-0817wb-73-09932,2
467,14,0,clueweb12-1500tw-83-04567,1
468,14,0,clueweb12-1413wb-51-21785,0
469,14,0,clueweb12-1315wb-86-06341,0
470,14,0,clueweb12-0012wb-40-02438,1
471,14,0,clueweb12-1300wb-04-07772,2
472,14,0,clueweb12-1400wb-27-32675,1
473,14,0,clueweb12-1415wb-97-30056,1
475,14,0,clueweb12-0112wb-45-28929,1
477,14,0,clueweb12-1400wb-24-33338,1
478,14,0,clueweb12-1300tw-43-13711,2
479,14,0,clueweb12-1400wb-24-33333,1
480,14,0,clueweb12-1807wb-65-00505,0
481,14,0,clueweb12-1509wb-42-15913,1
482,14,0,clueweb12-1218wb-35-26706,0
483,14,0,clueweb12-1207wb-15-14221,0
484,14,0,clueweb12-0301wb-77-14637,0
485,14,0,clueweb12-0610wb-58-18627,2
487,14,0,clueweb12-1300tw-13-16374,2
488,14,0,clueweb12-0102wb-32-29554,1
489,14,0,clueweb12-0108wb-39-04606,2
490,14,0,clueweb12-0109wb-14-22511,2
491,14,0,clueweb12-0710wb-91-18938,0
493,14,0,clueweb12-0808wb-90-19948,2
494,14,0,clueweb12-0812wb-12-09545,0
495,14,0,clueweb12-0814wb-25-22187,2
496,14,0,clueweb12-0914wb-21-02629,1
498,14,0,clueweb12-0917wb-59-03359,2
499,14,0,clueweb12-1013wb-32-08523,1
500,14,0,clueweb12-1211wb-42-09105,0
501,14,0,clueweb12-0807wb-82-31813,1
502,15,0,clueweb12-1100wb-10-12717,1
503,15,0,clueweb12-1100wb-25-21902,0
504,15,0,clueweb12-1100wb-31-23832,1
505,15,0,clueweb12-1100wb-31-23838,1
506,15,0,clueweb12-1100wb-36-06773,0
507,15,0,clueweb12-1100wb-47-13708,0
508,15,0,clueweb12-1804wb-51-09022,0
509,15,0,clueweb12-0303wb-40-00913,0
510,15,0,clueweb12-1100wb-72-13133,0
511,15,0,clueweb12-0714wb-22-17821,1
512,15,0,clueweb12-1014wb-30-07400,0
513,15,0,clueweb12-1509wb-96-07968,2
515,15,0,clueweb12-0717wb-21-08272,0
516,15,0,clueweb12-1800tw-07-15642,0
517,15,0,clueweb12-1015wb-96-13315,0
518,15,0,clueweb12-1101wb-26-20002,0
519,15,0,clueweb12-1013wb-18-07314,0
520,15,0,clueweb12-1013wb-50-08531,0
521,15,0,clueweb12-1301wb-00-04259,0
522,15,0,clueweb12-0301tw-15-21668,2
523,15,0,clueweb12-0100wb-20-17587,0
524,15,0,clueweb12-0002wb-72-36592,0
525,15,0,clueweb12-1014wb-26-06599,0
526,15,0,clueweb12-0004wb-05-25228,0
527,15,0,clueweb12-0006wb-04-09706,0
528,15,0,clueweb12-0305wb-47-23436,0
529,15,0,clueweb12-0602wb-36-12349,0
530,15,0,clueweb12-0700wb-76-26765,1
531,15,0,clueweb12-0705wb-19-24823,1
532,15,0,clueweb12-0712wb-67-18896,0
533,15,0,clueweb12-1013wb-09-24812,0
534,15,0,clueweb12-0301tw-09-13229,0
535,16,0,clueweb12-1313wb-32-17432,2
536,16,0,clueweb12-0810wb-81-16649,2
537,16,0,clueweb12-0913wb-47-27796,0
538,16,0,clueweb12-0013wb-67-22390,1
539,16,0,clueweb12-0211wb-90-32825,1
540,16,0,clueweb12-0913wb-56-24759,1
541,16,0,clueweb12-1717wb-40-30160,1
542,16,0,clueweb12-1716wb-64-13613,1
543,16,0,clueweb12-0000wb-59-05036,1
544,16,0,clueweb12-1616wb-89-15528,0
545,16,0,clueweb12-1312wb-67-30531,0
546,16,0,clueweb12-1306wb-95-29881,0
547,16,0,clueweb12-1000tw-94-00383,1
548,16,0,clueweb12-0915wb-67-13510,2
550,16,0,clueweb12-0910wb-32-28858,1
551,16,0,clueweb12-0609wb-32-10964,0
552,16,0,clueweb12-0607wb-83-15681,0
553,16,0,clueweb12-0701wb-50-31782,0
554,16,0,clueweb12-0501wb-34-06371,0
555,16,0,clueweb12-1312wb-79-05274,0
556,16,0,clueweb12-1800wb-47-05469,0
557,16,0,clueweb12-1902wb-69-29342,0
558,16,0,clueweb12-0002wb-44-19666,1
559,16,0,clueweb12-0010wb-38-20076,1
561,16,0,clueweb12-1200tw-37-16639,0
562,16,0,clueweb12-0200tw-22-06680,1
563,16,0,clueweb12-0202wb-94-09592,1
564,16,0,clueweb12-0212wb-12-15620,0
566,16,0,clueweb12-0412wb-04-11473,1
567,16,0,clueweb12-0602wb-88-16606,1
568,16,0,clueweb12-1910wb-85-24054,1
569,16,0,clueweb12-0109wb-46-14624,0
570,17,0,clueweb12-1305wb-68-01189,0
571,17,0,clueweb12-1117wb-08-00277,0
572,17,0,clueweb12-1309wb-39-20449,2
573,17,0,clueweb12-0800wb-57-14686,2
574,17,0,clueweb12-1608wb-75-26810,2
575,17,0,clueweb12-1103wb-23-13020,1
576,17,0,clueweb12-1311wb-87-06439,0
577,17,0,clueweb12-1603wb-20-18696,0
578,17,0,clueweb12-1602wb-43-27583,0
579,17,0,clueweb12-1311wb-66-30051,0
580,17,0,clueweb12-1311wb-36-01003,1
581,17,0,clueweb12-0601wb-11-03173,1
582,17,0,clueweb12-0500wb-94-12574,0
583,17,0,clueweb12-0804wb-08-13588,0
584,17,0,clueweb12-1018wb-92-03847,0
585,17,0,clueweb12-1103wb-35-09192,1
586,17,0,clueweb12-1000tw-09-02549,1
587,17,0,clueweb12-1018wb-92-03830,0
588,17,0,clueweb12-0816wb-27-06621,0
589,17,0,clueweb12-0500wb-04-17887,0
590,17,0,clueweb12-0717wb-28-10287,0
591,17,0,clueweb12-0902wb-74-09332,1
592,17,0,clueweb12-1602wb-14-10625,0
593,17,0,clueweb12-0405wb-25-11238,0
594,17,0,clueweb12-1313wb-64-09378,1
595,17,0,clueweb12-0703wb-44-10328,1
596,17,0,clueweb12-0008wb-85-24332,1
597,17,0,clueweb12-0203wb-11-12981,0
598,17,0,clueweb12-0110wb-12-26753,2
599,17,0,clueweb12-0001wb-37-28815,0
600,17,0,clueweb12-1018wb-45-02486,0
601,17,0,clueweb12-0912wb-43-13039,0
602,18,0,clueweb12-0000wb-46-08584,2
603,18,0,clueweb12-0009wb-79-20253,1
604,18,0,clueweb12-0903wb-61-02013,0
605,18,0,clueweb12-0818wb-78-10922,2
606,18,0,clueweb12-0908wb-86-29328,1
607,18,0,clueweb12-0705wb-88-06982,1
608,18,0,clueweb12-0906wb-95-05850,0
609,18,0,clueweb12-0909wb-21-22308,1
610,18,0,clueweb12-0908wb-19-09889,0
611,18,0,clueweb12-1309wb-19-05972,2
612,18,0,clueweb12-0403wb-79-02483,0
613,18,0,clueweb12-0909wb-45-01865,0
614,18,0,clueweb12-0605wb-16-19050,2
615,18,0,clueweb12-0909wb-45-01866,1
616,18,0,clueweb12-1904wb-63-08895,0
617,18,0,clueweb12-1212wb-12-04791,0
618,18,0,clueweb12-1000tw-84-12592,2
619,18,0,clueweb12-0906wb-57-27227,1
620,18,0,clueweb12-1208wb-54-12361,0
621,18,0,clueweb12-0201wb-86-07256,0
622,18,0,clueweb12-0011wb-95-13513,1
623,18,0,clueweb12-0002wb-34-07759,0
624,18,0,clueweb12-0101wb-15-18305,0
625,18,0,clueweb12-0108wb-89-03167,0
626,18,0,clueweb12-0101wb-27-26138,1
627,18,0,clueweb12-0102wb-04-29237,1
628,18,0,clueweb12-0101wb-95-30064,1
